Name,NormalizedName,LandLag,LCanceledLandLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,Id
RoySpecial,royspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1178
PuffSpecial,jigglypuffspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1179
SheikSpecial,sheikspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1184
ICsSpecial,iceclimbersspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1185
YLinkSpecial,younglinkspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1186
DocSpecial,drmariospecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1187
FalcoSpecial,falcospecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1188
FoxSpecial,foxspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1189
Hammer Hit,sideb,,,59,,,,22,28,Special,weak hit has 9 frames shieldstun,,0,http://meleeframedata.com/,1190
Final Cutter,upb,,,34,,,,2,26,Special,"info descirbes the landing hitbox/lag. rising hit comes out frame 23, hits 23-24, 47-49, and 54-56m with 8%, 1%, 6% respectivley.",,0,http://meleeframedata.com/,1191
Stone,downb,,,78,,,,30,47,Special,can be stone anywhere from 17 to 150 frames. gretting out of stone has 31 frames of lag.,,0,http://meleeframedata.com/,1192
FalconSpecial,captainfalconspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1193
GanonSpecial,ganondorfspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1194
DKSpecial,donkeykongspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1195
ZeldaSpecial,zeldaspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1196
MarthSpecial,marthspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1197
Roll forwards,rollforward,,,31,,,,4,19,Dodge,,,0,http://meleeframedata.com/,1395
Roll backwards,rollbackwards,,,31,,,,4,19,Dodge,,,0,http://meleeframedata.com/,1396
Spotdodge,spotdodge,,,22,,,,2,15,Dodge,,,0,http://meleeframedata.com/,1398
Airdodge,airdodge,,,49,,,,0,,Dodge,,,0,http://meleeframedata.com/,1424
Jab 1,jab1,,,17,16,,,3,4,Grounded,,,0,http://meleeframedata.com/,1497
Jab 2,jab2,,,19,16,,,2,3,Grounded,,,0,http://meleeframedata.com/,1498
Rapid Jabs,rjab,,,19,,,,2,3,Grounded,final hit end lag = 9 frames,,0,http://meleeframedata.com/,1499
Hammer Spin (Air),asideb,16,,69,,,,7,46,Special,6 strong hitboxes followed by 6 weak hitboxes,,0,http://meleeframedata.com/,1558
Grab,grab,,,30,,,,7,8,Unknown,,,0,http://meleeframedata.com/,1589
Dashgrab,dashgrab,,,40,,,,11,12,Unknown,,,0,http://meleeframedata.com/,1590
Tech-Roll Forward,ftechroll,,,40,,,,,,Unknown,"Horizontal Movement At: 10
Distance: 12.4 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1751
Tech-Roll Backward,btechroll,,,40,,,,,,Unknown,"Horizontal Movement At: 10
Distance: 14.4 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1752
Getup-Attack (Back),bgetup,,,49,,,,,,Unknown,"Hit: 19-20 (Behind), 24-25 (Front)
Invincible: 1-15 (Probably a programming error on this animation and should have been 25)",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1753
Getup-Attack (Stomach),fgetup,,,49,,,,,,Unknown,"Hit: 20-21 (Behind), 24 (Front), 26-27 (Front)
Invincible: 1-27",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1754
Getup-Roll Forward (Back),fgetuprollback,,,35,,,,,,Unknown,"Horizontal Movement At: 15
Distance: 9 ft
Invincible: 1-18",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1755
Getup-Roll Forward (Stomach),fgetuprollstomach,,,35,,,,,,Unknown,"Horizontal Movement At: 17 (You'd see him spinning forwards at 13)
Distance: 8.8 ft
Invincible: 1-23",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1756
Getup-Roll Backward (Back),bgetuprollback,,,35,,,,,,Unknown,"Horizontal Movement At: 12
Distance: 8.8 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1757
Getup-Roll Backward (Stomach),bgetuprollstomach,,,35,,,,,,Unknown,"Horizontal Movement At: 18 (You'd see him spinning backwards at 11)
Distance: 9.4 ft
Invincible: 1-28 (If the roll takes you to an edge you will slip off unless an attack is timed on that exact frame)",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1758
Tech-Neutral,neutraltech,,,26,,,,,,Unknown,Invincible: 1-20,,0,http://meleeframedata.com/,1887
Tech-Wall,walltech,,,31,6,,,,,Unknown,"Invincible: 1-14
Input an upwards direction anywhere on 1-4 for walljump tech on 6)",,0,http://meleeframedata.com/,1913
Tech-Wall Jump,walltechjump,,,40,1,,,,,Unknown,,,0,http://meleeframedata.com/,1939
